"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ARL6IP1",0,0.414448109354647,0.654,0.336,0,"Epithelial cells","ARL6IP1"
"RAC1",0,0.409939219136969,0.572,0.253,0,"Epithelial cells","RAC1"
"MGST3",0,0.40822811947529,0.638,0.395,0,"Epithelial cells","MGST3"
"ACTN4",0,0.406971725146239,0.542,0.244,0,"Epithelial cells","ACTN4"
"PRDX5",0,0.401254845908805,0.783,0.51,0,"Epithelial cells","PRDX5"
"DDT",0,0.395643201551926,0.518,0.255,0,"Epithelial cells","DDT"
"TM4SF1",0,0.39549867067188,0.667,0.36,0,"Epithelial cells","TM4SF1"
"S100A10",0,0.390106805687868,0.721,0.528,0,"Epithelial cells","S100A10"
"COX7B",0,0.387689559839941,0.625,0.377,0,"Epithelial cells","COX7B"
"UQCRQ",0,0.387268958719063,0.802,0.579,0,"Epithelial cells","UQCRQ"
"POLD4",0,0.387052993856898,0.528,0.259,0,"Epithelial cells","POLD4"
"COX6B1",0,0.38116360091755,0.798,0.566,0,"Epithelial cells","COX6B1"
"YWHAZ",0,0.373086489508948,0.728,0.464,0,"Epithelial cells","YWHAZ"
"ATP5J2",0,0.371630343153284,0.643,0.39,0,"Epithelial cells","ATP5J2"
"UQCRH",0,0.364742763335662,0.716,0.513,0,"Epithelial cells","UQCRH"
"ATP5I",0,0.36312654747672,0.829,0.599,0,"Epithelial cells","ATP5I"
"TCEB2",0,0.336368047948576,0.85,0.622,0,"Epithelial cells","TCEB2"
"COX6C",0,0.322151126213005,0.814,0.637,0,"Epithelial cells","COX6C"
"COX4I1",0,0.30752714529556,0.872,0.729,0,"Epithelial cells","COX4I1"
"MALAT1",0,-0.281024880365962,0.992,0.997,0,"Epithelial cells","MALAT1"
"B2M",0,-0.306327871767377,0.984,0.996,0,"Epithelial cells","B2M"
"HLA-B",0,-0.345451583519858,0.861,0.921,0,"Epithelial cells","HLA-B"
"FOS",0,-0.386482416888695,0.708,0.793,0,"Epithelial cells","FOS"
"CIRBP",0,-0.408427105877668,0.514,0.656,0,"Epithelial cells","CIRBP"
"HLA-E",0,-0.478463821304734,0.499,0.639,0,"Epithelial cells","HLA-E"
"TIMP1",0,-0.486270760565417,0.361,0.511,0,"Epithelial cells","TIMP1"
"HLA-C",0,-0.498200079465381,0.718,0.863,0,"Epithelial cells","HLA-C"
"CD74",0,-0.554703414030167,0.463,0.584,0,"Epithelial cells","CD74"
"GADD45B",0,-0.602221860928655,0.36,0.544,0,"Epithelial cells","GADD45B"
"ZFP36",0,-0.63715106672463,0.524,0.725,0,"Epithelial cells","ZFP36"
"JUNB",0,-0.692181315874007,0.582,0.792,0,"Epithelial cells","JUNB"
"TSC22D3",0,-0.969039190441681,0.202,0.577,0,"Epithelial cells","TSC22D3"
"SRGN",0,-1.24174675128821,0.038,0.56,0,"Epithelial cells","SRGN"
"LGALS1",0,-1.38492553113686,0.057,0.64,0,"Epithelial cells","LGALS1"
"VIM",0,-1.40905286594177,0.064,0.683,0,"Epithelial cells","VIM"
"TPD52",1.51551764132992e-300,0.349520220108578,0.524,0.256,3.14894255515531e-296,"Epithelial cells","TPD52"
"IGJ",1.08469740241855e-298,-0.785662782414598,0.57,0.635,2.25378426274526e-294,"Epithelial cells","IGJ"
"KLF6",4.46976011491263e-296,0.303927007602248,0.888,0.679,9.28726756676545e-292,"Epithelial cells","KLF6"
"UQCR11.1",8.98644890666692e-294,0.292199801425686,0.82,0.625,1.86720435382725e-289,"Epithelial cells","UQCR11.1"
"ATPIF1",1.19926422147339e-292,0.347603276334832,0.659,0.415,2.4918311993774e-288,"Epithelial cells","ATPIF1"
"ETFB",9.31381341759577e-291,0.347970519578045,0.502,0.254,1.93522415190805e-286,"Epithelial cells","ETFB"
"CLIC1",3.95069813164193e-288,0.300417118312738,0.779,0.585,8.20876057792561e-284,"Epithelial cells","CLIC1"
"NDUFS6",6.22982795952272e-275,0.336780983994835,0.552,0.306,1.29443365342963e-270,"Epithelial cells","NDUFS6"
"RAB11A",1.79916882080865e-272,0.317852257935488,0.52,0.256,3.73831297587621e-268,"Epithelial cells","RAB11A"
"NDUFA1",7.2353695253387e-272,0.314306191305731,0.739,0.519,1.50336507997487e-267,"Epithelial cells","NDUFA1"
"MT2A",1.80318644045676e-271,0.38284133275792,0.631,0.389,3.74666078598106e-267,"Epithelial cells","MT2A"
"C14orf2",2.28755432089222e-270,0.313687782296574,0.717,0.519,4.75308036794985e-266,"Epithelial cells","C14orf2"
"ATP5G1",6.47126229319421e-269,0.347634696010972,0.546,0.317,1.34459887927989e-264,"Epithelial cells","ATP5G1"
"DBI",4.85413306988445e-265,0.331452574809974,0.647,0.404,1.00859176926059e-260,"Epithelial cells","DBI"
"CHMP4B",1.33866909014753e-263,0.327172211337208,0.561,0.309,2.78148663550853e-259,"Epithelial cells","CHMP4B"
"CD164",1.7854673054403e-261,0.314300995701803,0.539,0.281,3.70984396724385e-257,"Epithelial cells","CD164"
"CYBA",5.86617860848435e-256,-0.313347049678601,0.622,0.647,1.21887459127088e-251,"Epithelial cells","CYBA"
"ROMO1",6.99945844534382e-255,0.319303450241881,0.598,0.345,1.45434747577354e-250,"Epithelial cells","ROMO1"
"JUN",9.7296251135014e-246,-0.312495870982297,0.725,0.731,2.02162150608332e-241,"Epithelial cells","JUN"
"JUND",1.92718202246424e-237,0.29310478754115,0.821,0.593,4.0042988062762e-233,"Epithelial cells","JUND"
"CIB1",1.14067056295095e-236,0.313931076432223,0.524,0.289,2.37008529569948e-232,"Epithelial cells","CIB1"
"KDELR2",2.52590924941621e-235,0.306990143202889,0.579,0.338,5.24833423843701e-231,"Epithelial cells","KDELR2"
"COX5A",8.13196062953299e-234,0.315890414580125,0.554,0.339,1.68965877960436e-229,"Epithelial cells","COX5A"
"NDUFB7",5.56961449839596e-225,0.302968060930909,0.627,0.392,1.15725450047671e-220,"Epithelial cells","NDUFB7"
"SLIRP",4.31543968776979e-223,0.295690454065204,0.583,0.342,8.96662058324807e-219,"Epithelial cells","SLIRP"
"USMG5",5.57397417118997e-223,0.302170028643735,0.669,0.468,1.15816035328985e-218,"Epithelial cells","USMG5"
"NDUFB9",1.5410181240484e-218,0.310223434310529,0.526,0.317,3.20192745814777e-214,"Epithelial cells","NDUFB9"
"TAGLN2",4.32289801730447e-218,0.276623316957942,0.8,0.601,8.98211750035523e-214,"Epithelial cells","TAGLN2"
"GKN1",1.05582690239314e-217,0.562730302600109,0.604,0.47,2.19379713779246e-213,"Epithelial cells","GKN1"
"MYL12B",2.99000351702733e-213,0.288857092725642,0.752,0.539,6.21262930767939e-209,"Epithelial cells","MYL12B"
"CTSD",1.73050404436876e-208,0.280644214670197,0.546,0.309,3.59564130338942e-204,"Epithelial cells","CTSD"
"ZNF706",1.70352978081111e-205,0.282471513822879,0.552,0.325,3.53959417856933e-201,"Epithelial cells","ZNF706"
"ADIRF",8.9745023218066e-204,0.32496137917411,0.563,0.336,1.86472209242498e-199,"Epithelial cells","ADIRF"
"SHFM1",5.76157316852398e-203,0.280238992758252,0.598,0.362,1.19713967295591e-198,"Epithelial cells","SHFM1"
"SLC25A3",2.08044903536599e-199,0.291554587231199,0.6,0.402,4.32275700568345e-195,"Epithelial cells","SLC25A3"
"ZNHIT1",1.80436058578735e-197,0.270124884598976,0.535,0.309,3.74910042514896e-193,"Epithelial cells","ZNHIT1"
"PCBP1",5.95655962938662e-197,0.270282527233048,0.543,0.31,1.23765395979395e-192,"Epithelial cells","PCBP1"
"TUBB4B",8.4668246074731e-197,0.287132281192524,0.586,0.365,1.75923681694076e-192,"Epithelial cells","TUBB4B"
"ATF3",1.00990124777433e-196,0.289460393948635,0.555,0.331,2.0983728126255e-192,"Epithelial cells","ATF3"
"PRDX1",1.89568283797614e-195,0.274474918890133,0.687,0.496,3.93884980074682e-191,"Epithelial cells","PRDX1"
"SPCS2",9.96775932277822e-193,-0.326252545197941,0.498,0.546,2.07110103208686e-188,"Epithelial cells","SPCS2"
"LSM7",1.18041812098315e-192,0.266615541586806,0.529,0.307,2.45267277177878e-188,"Epithelial cells","LSM7"
"MINOS1",2.99871172755497e-190,0.279333194000407,0.596,0.377,6.23072322751372e-186,"Epithelial cells","MINOS1"
"SQSTM1",1.83249013513343e-180,0.273688491759809,0.666,0.445,3.80754800278024e-176,"Epithelial cells","SQSTM1"
"YWHAE",1.46873881935772e-175,0.264196763397506,0.636,0.413,3.05174551886146e-171,"Epithelial cells","YWHAE"
"ATP5O",1.57599635333535e-175,0.269323079464079,0.582,0.393,3.27460522296018e-171,"Epithelial cells","ATP5O"
"PGC",2.64534930305109e-144,0.302099216583594,0.715,0.62,5.49650678187956e-140,"Epithelial cells","PGC"
"HERPUD1",1.6387036580241e-128,-0.32815261323077,0.56,0.553,3.40489846064247e-124,"Epithelial cells","HERPUD1"
"TFF1.1",9.69480714699966e-88,0.528024228757024,0.959,0.841,2.01438702900359e-83,"Keratinocytes","TFF1"
"GKN2.1",4.96603046796049e-82,0.71464825684789,0.812,0.499,1.03184181063283e-77,"Keratinocytes","GKN2"
"MUC5AC.1",1.30771715174043e-72,0.53995415098503,0.897,0.684,2.71717469788626e-68,"Keratinocytes","MUC5AC"
"SPINK1.1",6.86328880162231e-67,0.471575924380707,0.943,0.728,1.42605414720108e-62,"Keratinocytes","SPINK1"
"GKN1.1",9.0171795413086e-67,0.709950524728195,0.801,0.565,1.8735895650931e-62,"Keratinocytes","GKN1"
"ELF3.1",1.38259319522789e-63,-0.666477147731321,0.208,0.653,2.87275214104451e-59,"Keratinocytes","ELF3"
"TFF2.1",8.30556162568292e-63,0.502920339414523,0.913,0.694,1.7257295945844e-58,"Keratinocytes","TFF2"
"CXCL3",1.41916807013885e-57,0.562477780572686,0.648,0.371,2.94874741613449e-53,"Keratinocytes","CXCL3"
"S100P.1",1.96785699627358e-56,0.425542365126748,0.875,0.709,4.08881326685725e-52,"Keratinocytes","S100P"
"CYSTM1.1",3.07593419420644e-52,0.276102509974532,0.943,0.848,6.39117606872213e-48,"Keratinocytes","CYSTM1"
"MUC1.1",8.23681710866516e-47,0.439078457107895,0.77,0.598,1.71144585883845e-42,"Keratinocytes","MUC1"
"CLDN18.1",1.03082691658842e-46,0.403270702229284,0.836,0.65,2.14185216728741e-42,"Keratinocytes","CLDN18"
"DPCR1",1.73429886002472e-46,0.538600099281161,0.575,0.328,3.60352617135937e-42,"Keratinocytes","DPCR1"
"HLA-C.1",3.2699937451357e-44,-0.484228635249937,0.464,0.761,6.79439300364296e-40,"Keratinocytes","HLA-C"
"C19orf33.1",7.72042843191068e-43,0.369321822244484,0.779,0.643,1.6041506195824e-38,"Keratinocytes","C19orf33"
"RPS7",6.39116033353413e-41,-0.401984969379849,0.552,0.807,1.32795529410172e-36,"Keratinocytes","RPS7"
"SMIM22.1",1.52321015353036e-40,0.334303300299415,0.783,0.678,3.16492605700539e-36,"Keratinocytes","SMIM22"
"GAPDH",1.07313296081464e-39,-0.38233108120111,0.589,0.81,2.22975566598066e-35,"Keratinocytes","GAPDH"
"RPL6",1.58202532777116e-39,-0.409315022403713,0.532,0.793,3.28713222604291e-35,"Keratinocytes","RPL6"
"CD74.1",7.02309776083641e-38,-0.546392917270764,0.184,0.5,1.45925925274659e-33,"Keratinocytes","CD74"
"CA2.1",1.29300466187057e-36,0.397118505284085,0.726,0.57,2.68660508643467e-32,"Keratinocytes","CA2"
"RPL15",5.1286790658813e-36,-0.273467026341733,0.751,0.896,1.06563693630882e-31,"Keratinocytes","RPL15"
"PSCA.1",7.15316745771334e-34,0.52087957671256,0.621,0.443,1.48628513436368e-29,"Keratinocytes","PSCA"
"SLC25A6",2.23515375491204e-31,-0.383854319022371,0.466,0.718,4.64420247195625e-27,"Keratinocytes","SLC25A6"
"JUND.1",4.09333521768171e-31,0.263959675698992,0.788,0.762,8.50513191529906e-27,"Keratinocytes","JUND"
"AGR2.1",1.92703677050351e-30,0.280738331903697,0.915,0.789,4.00399700175218e-26,"Keratinocytes","AGR2"
"CALM1",3.04385406594745e-30,-0.421573895601518,0.3,0.604,6.32451997822561e-26,"Keratinocytes","CALM1"
"CTSE.1",3.72167007237307e-28,0.311950119843175,0.707,0.593,7.73288607637676e-24,"Keratinocytes","CTSE"
"RPL5",8.06179138163064e-28,-0.348849948287464,0.517,0.755,1.67507901327522e-23,"Keratinocytes","RPL5"
