"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MT1G.8",2.7316153740696e-61,-0.974378216057592,0.107,0.536,5.67575042424182e-57,"16","MT1G"
"OCIAD2.9",1.0118985077942e-59,-0.783518761768336,0.082,0.513,2.1025227194948e-55,"16","OCIAD2"
"ANXA10.14",2.16037100277978e-59,-0.840114142290241,0.104,0.52,4.48881886957583e-55,"16","ANXA10"
"ADIRF.11",2.66769474967188e-59,-0.906405454898178,0.094,0.509,5.54293615086823e-55,"16","ADIRF"
"TACSTD2.12",1.55020218977681e-57,-0.824628211732338,0.079,0.505,3.22101010991826e-53,"16","TACSTD2"
"FCGRT.3",7.74459854170255e-57,0.579711112296113,0.682,0.433,1.60917268499496e-52,"16","FCGRT"
"CHMP1B.1",1.43070975113106e-55,0.616760314326858,0.608,0.337,2.97272872090012e-51,"16","CHMP1B"
"PHGR1.13",9.03563399597786e-53,-0.940131529655328,0.278,0.609,1.87742403168428e-48,"16","PHGR1"
"PNRC1",1.570480768199e-52,0.582154676670027,0.546,0.265,3.26314494016388e-48,"16","PNRC1"
"TNFAIP3.1",1.64734899472522e-51,0.588638495217339,0.563,0.276,3.42286174124006e-47,"16","TNFAIP3"
"ACTG1.5",3.71216818371478e-49,-0.312336649049822,0.821,0.911,7.71314305212256e-45,"16","ACTG1"
"CXCL3.4",3.87716616862803e-48,0.71366050249929,0.618,0.372,8.05597586517532e-44,"16","CXCL3"
"GSTP1.8",2.18101190477519e-46,-0.355516844802281,0.734,0.864,4.53170653574189e-42,"16","GSTP1"
"GKN2.15",2.24555101755061e-45,-0.975146256531428,0.166,0.509,4.66580590426665e-41,"16","GKN2"
"PRDX5.3",5.26608627153973e-45,-0.516416850517949,0.432,0.716,1.09418740550053e-40,"16","PRDX5"
"DSTN.8",4.78573079269868e-42,-0.560912767128744,0.313,0.631,9.94379144106931e-38,"16","DSTN"
"HSPA1A.3",4.61090552365483e-41,0.628517605280445,0.635,0.396,9.58053949705e-37,"16","HSPA1A"
"LGALS3BP.5",2.27040476737111e-40,-0.585775404950346,0.176,0.519,4.71744702564369e-36,"16","LGALS3BP"
"CYB5A.4",8.63506290891964e-40,-0.569829237719907,0.174,0.504,1.79419337121532e-35,"16","CYB5A"
"TSPO.8",1.08800094462415e-39,-0.524072655571696,0.39,0.665,2.26064836274006e-35,"16","TSPO"
"PGC.12",6.23488255082002e-39,-0.670341261142378,0.457,0.693,1.29548389640938e-34,"16","PGC"
"RHOB.7",6.70803029370537e-39,-0.58090796640203,0.189,0.544,1.3937945344261e-34,"16","RHOB"
"PFDN5.1",1.38786242919847e-38,0.28729253218692,0.871,0.763,2.88370055538858e-34,"16","PFDN5"
"ANXA1.3",5.51642336040928e-38,0.508913679949149,0.551,0.284,1.14620244582584e-33,"16","ANXA1"
"ATPIF1.4",2.47837124495658e-37,-0.530493259550414,0.288,0.6,5.14955977277079e-33,"16","ATPIF1"
"UQCRQ.8",8.81226787063245e-37,-0.430288145992317,0.529,0.747,1.83101301816001e-32,"16","UQCRQ"
"DNAJB6.1",3.13060045149906e-36,0.487783699668128,0.558,0.336,6.50476161812476e-32,"16","DNAJB6"
"ITM2B.6",6.57527829214833e-36,0.381221963903394,0.784,0.641,1.36621132354258e-31,"16","ITM2B"
"TCEB2.3",7.28611212201463e-36,-0.408597743182556,0.556,0.794,1.5139083767122e-31,"16","TCEB2"
"P4HB.6",2.99548312976954e-35,-0.4942451397408,0.357,0.626,6.22401484703514e-31,"16","P4HB"
"HLA-E.5",1.69160487934436e-34,0.406047197553851,0.727,0.532,3.51481661830171e-30,"16","HLA-E"
"MT2A.4",5.57953022557931e-34,-0.596768569727105,0.263,0.573,1.15931479027087e-29,"16","MT2A"
"ARPC3.4",1.39736223978655e-33,0.393841852495933,0.68,0.518,2.9034392618285e-29,"16","ARPC3"
"SCP2.6",2.44530568156633e-33,-0.503869976723475,0.308,0.588,5.08085614515852e-29,"16","SCP2"
"TUBA1B.4",2.81749717496147e-31,0.440220493712872,0.665,0.509,5.85419563013494e-27,"16","TUBA1B"
"COX5B.6",5.48885945556956e-31,-0.38988357001098,0.531,0.725,1.14047521767824e-26,"16","COX5B"
"MGST3.8",3.0359947745601e-30,-0.495518562758883,0.318,0.579,6.30818994258097e-26,"16","MGST3"
"GKN1.14",5.78843813075487e-30,-0.816329841113254,0.328,0.572,1.20272167480825e-25,"16","GKN1"
"C15orf48.4",1.39772268380245e-29,0.504927387741569,0.573,0.377,2.90418819240474e-25,"16","C15orf48"
"KDELR2.6",2.24922911104302e-29,-0.460572964981631,0.236,0.52,4.6734482469252e-25,"16","KDELR2"
"COX7A2.5",5.38698376256499e-29,-0.337244179142582,0.628,0.792,1.11930748618575e-24,"16","COX7A2"
"ANXA5.2",1.71088146178321e-28,0.44103138801547,0.516,0.322,3.55486950129316e-24,"16","ANXA5"
"BSG.5",5.35849480412424e-28,-0.443368116338623,0.285,0.549,1.11338805040093e-23,"16","BSG"
"RPL23.5",1.83961273113443e-27,0.291619417912479,0.821,0.682,3.82234733275113e-23,"16","RPL23"
"CTSD.3",2.33049749448198e-27,0.463140952831899,0.615,0.483,4.84230769403465e-23,"16","CTSD"
"GADD45B.4",3.01742782795392e-27,0.427698473452958,0.625,0.405,6.26961154092267e-23,"16","GADD45B"
"HSPB1.6",6.46543688469818e-27,-0.413098978476463,0.479,0.708,1.34338847590259e-22,"16","HSPB1"
"SSR4.7",1.00400130160961e-26,-0.406595237613131,0.538,0.724,2.08611390448445e-22,"16","SSR4"
"MYL12B.5",1.79675214559388e-26,-0.373255368760995,0.511,0.699,3.73329160811496e-22,"16","MYL12B"
"RPS27L.8",1.14099298770186e-25,-0.383258212771549,0.474,0.683,2.37075522984692e-21,"16","RPS27L"
"ID2.1",1.47915727461367e-25,0.442456762614799,0.543,0.352,3.07339298519229e-21,"16","ID2"
"AP2S1.3",4.5863828292849e-25,0.381001015622019,0.558,0.395,9.52958624268816e-21,"16","AP2S1"
"RNASE1.11",1.6644972695353e-24,-0.444910587049906,0.285,0.602,3.45849242664045e-20,"16","RNASE1"
"ATP5I.6",3.04329839524168e-24,-0.327936637780847,0.598,0.772,6.32336540563315e-20,"16","ATP5I"
"TIMP1.4",1.10674196663672e-23,0.466650731924466,0.558,0.398,2.29958845827777e-19,"16","TIMP1"
"GPX4.4",4.73776816413718e-23,0.346605732554847,0.655,0.506,9.84413469144424e-19,"16","GPX4"
"UQCR10.7",5.02709894726648e-23,-0.362492136160742,0.469,0.675,1.04453061926303e-18,"16","UQCR10"
"ARPC2.5",6.08454744413522e-23,0.302546568327529,0.717,0.603,1.26424726794242e-18,"16","ARPC2"
"GAST.8",6.38816375906454e-23,-0.548002367975567,0.419,0.618,1.32733266585843e-18,"16","GAST"
"NDUFB7.2",1.13132960508796e-22,-0.388254502794951,0.335,0.569,2.35067665345176e-18,"16","NDUFB7"
"RABAC1.2",3.42772517759305e-22,-0.389610568806728,0.283,0.528,7.12212737400284e-18,"16","RABAC1"
"TMEM59.6",9.71755793126003e-22,-0.362224100756083,0.452,0.662,2.01911418695721e-17,"16","TMEM59"
"ATP6V0B.3",1.37905948646866e-21,0.347822932116846,0.593,0.453,2.86540980098458e-17,"16","ATP6V0B"
"TAGLN2.10",1.32654792683191e-20,-0.322678356831325,0.576,0.751,2.75630128237133e-16,"16","TAGLN2"
"SLIRP.6",1.330634682792e-20,-0.372363680318757,0.298,0.523,2.76479274390523e-16,"16","SLIRP"
"TMED2.4",1.98708319985281e-20,-0.366155629792475,0.275,0.52,4.12876147265418e-16,"16","TMED2"
"PHLDA2.10",7.03069348095276e-20,-0.392056564547252,0.409,0.585,1.46083749147237e-15,"16","PHLDA2"
"MIF.3",8.12628310564044e-20,-0.342444323800879,0.447,0.639,1.68847910368997e-15,"16","MIF"
"EDF1.3",9.36902724139467e-20,-0.308988752873732,0.531,0.713,1.94669648021698e-15,"16","EDF1"
"FKBP2.4",2.93311995048901e-19,-0.353076480147115,0.38,0.598,6.09443663312606e-15,"16","FKBP2"
"ATP6V0E1.3",6.07985477649832e-19,0.318598276137539,0.618,0.513,1.26327222546082e-14,"16","ATP6V0E1"
"CAPZB.3",6.49352490528925e-19,0.331564551080277,0.548,0.412,1.349224604821e-14,"16","CAPZB"
"SPINT2.10",6.79266003559018e-19,-0.35705442757816,0.362,0.564,1.41137890219493e-14,"16","SPINT2"
"JUN.7",7.89323781659939e-19,-0.363953818884207,0.484,0.73,1.64005695353302e-14,"16","JUN"
"EZR.7",8.3644936560811e-19,-0.336550901512136,0.476,0.672,1.73797449186053e-14,"16","EZR"
"ROMO1.4",1.38398615449239e-18,-0.348954265872933,0.305,0.535,2.87564643180429e-14,"16","ROMO1"
"YBX1.6",9.09777446724045e-18,0.311013827553095,0.633,0.515,1.89033557880322e-13,"16","YBX1"
"PEBP1.7",1.24426165097116e-17,-0.351792756249665,0.328,0.525,2.58532685838787e-13,"16","PEBP1"
"ZFP36.12",4.07579258791344e-17,0.306806493117803,0.727,0.574,8.46868183916654e-13,"16","ZFP36"
"YWHAZ.6",5.55220704827006e-17,-0.305887259175938,0.486,0.662,1.15363758048955e-12,"16","YWHAZ"
"HN1.11",2.1716362111811e-16,-0.348096687741324,0.355,0.533,4.5122257195921e-12,"16","HN1"
"COX6A1.5",7.09869726915278e-16,-0.285897609173657,0.504,0.652,1.47496731858457e-11,"16","COX6A1"
"ZFP36L1.2",1.78011036130669e-15,0.353482276067379,0.541,0.405,3.69871330872303e-11,"16","ZFP36L1"
"DUSP1.4",1.8362737916764e-15,0.324126340327579,0.635,0.487,3.81540968434523e-11,"16","DUSP1"
"CD59.5",2.22400280837881e-15,-0.316004755440651,0.323,0.532,4.62103303524948e-11,"16","CD59"
"YWHAE.4",4.37689787257954e-15,-0.303597102006017,0.375,0.581,9.09431839964577e-11,"16","YWHAE"
"BLOC1S1.6",1.95839548291186e-14,-0.301939943978929,0.357,0.544,4.06915413439427e-10,"16","BLOC1S1"
"EIF4A2.3",7.84066014408867e-14,-0.285500891563695,0.395,0.595,1.62913236473874e-09,"16","EIF4A2"
"SOD1.5",2.5273585064398e-12,-0.274007775649884,0.39,0.547,5.25134550468061e-08,"16","SOD1"
"ATF4.2",6.06222635756407e-12,-0.273054587140588,0.335,0.517,1.25960939257466e-07,"16","ATF4"
"IGJ.8",0.000146967581396561,-0.310422693882206,0.543,0.587,1,"16","IGJ"
"RGS5",0,1.98554171936723,0.721,0.037,0,"17","RGS5"
"ACTA2",0,1.75641788206544,0.676,0.021,0,"17","ACTA2"
"CALD1.2",0,1.73675979606286,0.922,0.07,0,"17","CALD1"
"MYL9",0,1.71074425480837,0.784,0.048,0,"17","MYL9"
"IGFBP7.2",0,1.67831564030668,0.841,0.067,0,"17","IGFBP7"
"LGALS1.4",0,1.53684773146255,0.982,0.2,0,"17","LGALS1"
"NDUFA4L2",0,1.51762230457196,0.631,0.012,0,"17","NDUFA4L2"
"TAGLN",0,1.46724496727914,0.604,0.048,0,"17","TAGLN"
"FRZB",0,1.43456152682532,0.655,0.019,0,"17","FRZB"
"TPM2.1",0,1.30927412353092,0.67,0.068,0,"17","TPM2"
"SPARC.2",0,1.30536864275918,0.739,0.063,0,"17","SPARC"
"CSRP2",0,1.24172748221926,0.559,0.017,0,"17","CSRP2"
"CAV1.1",0,1.21198071939733,0.658,0.06,0,"17","CAV1"
"COX4I2",0,1.20455716090525,0.514,0.002,0,"17","COX4I2"
"MFGE8",0,1.19152053135329,0.616,0.035,0,"17","MFGE8"
"BGN",0,1.15939579224728,0.52,0.008,0,"17","BGN"
"DCN.1",0,1.15165111676457,0.628,0.059,0,"17","DCN"
"MGP.1",0,1.15100595302657,0.562,0.042,0,"17","MGP"
"PPP1R14A",0,1.0854117355456,0.571,0.028,0,"17","PPP1R14A"
"SPARCL1.2",0,1.0713917596612,0.649,0.075,0,"17","SPARCL1"
"COL18A1",0,1.05627243697972,0.529,0.029,0,"17","COL18A1"
"COL6A2.1",0,0.988551868343438,0.571,0.043,0,"17","COL6A2"
"COL1A2.1",0,0.985107424339093,0.526,0.035,0,"17","COL1A2"
"COL3A1.1",0,0.958291273829494,0.502,0.04,0,"17","COL3A1"
"SERPING1.1",0,0.879660375910493,0.529,0.05,0,"17","SERPING1"
"GPX3.1",5.19222413062442e-291,1.18348182334774,0.685,0.1,1.07884032986114e-286,"17","GPX3"
"MEF2C.1",7.14926439986304e-288,0.959131466122733,0.52,0.055,1.48547415700354e-283,"17","MEF2C"
"VIM.5",4.5674567558676e-218,1.23630944768264,0.892,0.217,9.49026164734169e-214,"17","VIM"
"PRKCDBP",5.39690324365435e-207,1.02419265079862,0.595,0.105,1.1213685559665e-202,"17","PRKCDBP"
"IFITM3.3",9.4854737412363e-178,1.16276849558315,0.913,0.354,1.97089173395408e-173,"17","IFITM3"
"IFITM2.3",1.02510509076675e-166,0.949025053735964,0.652,0.138,2.12996335759514e-162,"17","IFITM2"
"RARRES2.1",1.01457879765769e-158,0.800731477867505,0.52,0.091,2.10809182577314e-154,"17","RARRES2"
"TUBA1A.3",6.91667250383718e-153,0.946232706498303,0.676,0.158,1.43714621284729e-148,"17","TUBA1A"
"JUNB.10",8.70992073697085e-117,0.864076506306976,0.949,0.633,1.8097473307278e-112,"17","JUNB"
"ADIRF.12",4.06292219053408e-115,0.943028685361101,0.913,0.5,8.44193972749171e-111,"17","ADIRF"
"CNN3.1",3.02106263560135e-112,0.83888177407908,0.568,0.158,6.27716394425248e-108,"17","CNN3"
"CRIP2.2",4.24284623176758e-111,0.797848043200266,0.589,0.161,8.81578590036668e-107,"17","CRIP2"
"ARHGDIB.2",1.09596171453427e-110,0.880788643987626,0.517,0.129,2.2771892504593e-106,"17","ARHGDIB"
"SELM.2",1.16528348782173e-103,0.816806105126561,0.607,0.185,2.421226030996e-99,"17","SELM"
"IFITM1.2",1.05726554505949e-99,0.749467329619757,0.52,0.129,2.19678634952462e-95,"17","IFITM1"
"SEPT7.3",4.39172212034173e-95,0.873875564429869,0.682,0.273,9.12512022164605e-91,"17","SEPT7"
"BST2.2",6.77619689479168e-90,0.711675852009049,0.526,0.15,1.40795819079982e-85,"17","BST2"
"ID3.4",1.63565555930686e-86,0.856639409926289,0.757,0.363,3.3985651211278e-82,"17","ID3"
"FOS.7",1.24098452106584e-82,0.662456390489499,0.958,0.727,2.57851763787061e-78,"17","FOS"
"ZFP36.13",1.67854643923738e-75,0.757634001356938,0.862,0.573,3.48768379144743e-71,"17","ZFP36"
"S100A4.3",1.72548495358051e-74,0.815647032096319,0.565,0.196,3.58521263654959e-70,"17","S100A4"
"JUN.8",4.68291880858959e-70,0.615750298796548,0.919,0.725,9.73016870048745e-66,"17","JUN"
"KRT19.10",1.01014043127885e-65,-0.822868806386366,0.399,0.795,2.0988697881112e-61,"17","KRT19"
"ITGB1.2",3.84122765778131e-64,0.672257915131009,0.667,0.323,7.98130282733801e-60,"17","ITGB1"
"KRT8.14",4.61170381203207e-64,-0.682623126720016,0.529,0.841,9.58219818064023e-60,"17","KRT8"
"TPM1.3",5.92687851472544e-62,0.700227078744855,0.727,0.454,1.23148681778965e-57,"17","TPM1"
"GADD45B.5",1.17909316224429e-61,0.8155940176135,0.721,0.404,2.44991977251119e-57,"17","GADD45B"
"FXYD3.11",1.54981988944147e-57,-0.77549651209409,0.324,0.729,3.2202157662815e-53,"17","FXYD3"
"HLA-B.2",5.24303330939008e-57,0.344696137869755,0.952,0.876,1.08939746102507e-52,"17","HLA-B"
"HLA-C.7",2.45393764862632e-55,0.46180794234043,0.919,0.754,5.09879164631577e-51,"17","HLA-C"
"HSPB1.7",1.33128958018542e-54,0.48335918881233,0.907,0.703,2.76615348970927e-50,"17","HSPB1"
"AGR2.14",1.62969923952688e-54,-0.716969448461352,0.465,0.794,3.38618907988896e-50,"17","AGR2"
"EID1.3",2.09546746594545e-54,0.640193690997502,0.646,0.336,4.35396230074146e-50,"17","EID1"
"TSPAN8.13",4.30148889299549e-52,-0.823075312581059,0.258,0.656,8.93763362186603e-48,"17","TSPAN8"
"SH3BGRL",1.725470022525e-51,0.631524612893225,0.538,0.244,3.58518161280243e-47,"17","SH3BGRL"
"SMIM22.8",5.40361394459312e-51,-0.75837160843943,0.261,0.684,1.12276290540756e-46,"17","SMIM22"
"CYSTM1.9",2.98683370602263e-50,-0.465500349988863,0.703,0.851,6.20604307437383e-46,"17","CYSTM1"
"SOX4.2",1.18836494940472e-48,0.596824064391579,0.598,0.271,2.46918469187314e-44,"17","SOX4"
"HSPA1A.4",9.66605056438408e-48,0.669959515936841,0.7,0.396,2.00841198626772e-43,"17","HSPA1A"
"SPINK1.14",5.70989249306607e-47,-0.764471619424921,0.366,0.736,1.18640146220927e-42,"17","SPINK1"
"RPS29.2",1.83731483424205e-44,-0.28212584239102,0.868,0.953,3.81757276258814e-40,"17","RPS29"
"ITM2B.7",1.07725435529856e-43,0.454990400054092,0.817,0.641,2.23831909943935e-39,"17","ITM2B"
"RPL39.1",2.62973174880724e-43,-0.300609039311512,0.847,0.945,5.46405662767168e-39,"17","RPL39"
"LYZ.11",5.38169295153911e-43,-0.572674571127315,0.589,0.851,1.1182081614708e-38,"17","LYZ"
"SOCS3.2",5.88767459327857e-43,0.657462102064162,0.526,0.248,1.22334102699142e-38,"17","SOCS3"
